TRANS_DATE,TRANS_CODE,TRANS_SHARES
2008-05-16,A,1000.0
2008-05-16,A,1000.0
2008-05-16,A,1000.0
2008-05-16,A,1000.0
2008-06-18,M,3000.0
2008-06-18,S,3000.0
2008-06-17,M,3250.0
2008-06-17,S,3250.0
2008-06-17,S,666.0
2008-06-17,M,666.0
2008-04-16,M,10000.0
2008-04-16,S,10000.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,16.0
2008-04-15,S,84.0
2008-04-15,S,100.0
2008-04-15,S,105.0
2008-04-15,S,100.0
2008-04-15,S,200.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,200.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,50.0
2008-04-15,S,50.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,200.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,100.0
2008-04-15,S,95.0
2008-06-12,S,2500.0
2008-06-12,S,7500.0
2008-06-12,M,7500.0
2008-06-12,M,2500.0
2008-05-13,S,200.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,200.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,200.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,50.0
2008-05-13,S,50.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,200.0
2008-05-13,S,200.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,50.0
2008-05-13,S,50.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-05-13,S,100.0
2008-04-10,S,10000.0
2008-04-10,M,10000.0
2008-05-08,S,7500.0
2008-05-08,M,7500.0
2008-05-08,M,2500.0
2008-05-08,S,2500.0
2008-06-10,S,200.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,200.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,200.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,200.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
