TRANS_DATE,TRANS_CODE,TRANS_SHARES
2022-08-15,M,5470.0
2022-08-15,F,8161.0
2022-08-16,S,669.0
2022-08-15,M,5038.0
2022-08-15,M,2999.0
2022-08-17,S,15000.0
2022-08-15,C,5479.0
2022-08-15,C,7434.0
2022-08-15,C,5998.0
2022-08-15,C,4721.0
2022-08-15,S,11718.0
2022-08-15,M,5470.0
2022-08-15,F,2713.0
2022-08-17,S,17428.0
2022-08-15,M,189.0
2022-08-15,M,289.0
2022-09-13,S,342.0
2022-07-12,S,342.0
2022-08-09,S,342.0
2022-09-06,S,342.0
2022-07-05,S,342.0
2022-08-02,S,342.0
2022-08-30,S,342.0
2015-11-24,S,1000.0
2015-12-29,S,1000.0
2015-10-27,S,1000.0
2015-11-24,S,4500.0
2015-11-25,S,396481.0
2015-11-25,S,118799.0
2015-11-24,S,152837.0
2015-11-24,S,357942.0
2015-10-23,S,30000.0
2015-11-19,S,625.0
2015-11-19,S,306861.0
2015-11-20,S,426171.0
2015-11-20,S,89108.0
2015-11-23,S,428801.0
2015-11-23,S,86478.0
2015-11-19,S,208418.0
2015-12-22,S,1000.0
2015-12-21,S,15500.0
2015-10-20,S,1000.0
2015-10-19,S,5778.0
2015-10-15,C,74940.0
2015-10-15,S,5217.0
2015-10-15,S,33887.0
2015-10-15,C,834.0
2015-10-15,C,11371.0
2015-10-15,S,31283.0
2015-10-15,S,5934.0
2015-10-15,C,59952.0
2015-10-15,C,59952.0
2015-10-15,S,8799.0
2015-10-15,S,22484.0
2015-10-15,S,15000.0
2015-10-15,C,10088.0
2015-10-15,S,500.0
2015-10-15,S,4764.0
2015-10-15,C,3728.0
2015-10-15,S,300.0
2015-10-15,S,1646.0
2015-11-15,C,18789.0
2015-11-15,M,15034.0
2015-11-16,S,400.0
2015-11-16,S,7151.0
2015-11-16,S,3400.0
2015-11-16,S,6699.0
2015-11-15,C,86585.0
2015-11-15,C,34122.0
2015-11-16,S,2100.0
2015-11-16,S,25315.0
2015-11-16,S,11500.0
2015-11-16,S,24071.0
2015-11-15,C,7682.0
2015-11-15,M,6444.0
2015-11-15,M,8018.0
2015-11-17,S,1000.0
2015-11-16,S,5100.0
2015-11-16,S,2456.0
2015-11-16,S,400.0
2015-11-16,S,3600.0
2015-11-15,C,11371.0
2015-11-15,C,86585.0
2015-11-16,S,14380.0
2015-11-16,G,225000.0
2015-11-16,S,11885.0
2015-11-16,S,2000.0
2015-11-16,S,15500.0
2015-11-16,S,22850.0
2015-11-15,M,18750.0
2015-11-15,M,5370.0
2015-11-16,S,200.0
2015-11-16,S,4987.0
2015-11-16,S,2200.0
2015-11-16,S,5200.0
2015-11-06,G,1289201.0
2015-11-06,G,3500000.0
2015-11-16,S,697363.0
2015-11-06,G,1200000.0
2015-11-09,G,600000.0
2015-11-15,M,5384918.0
2015-11-16,S,768473.0
2015-11-16,S,1223728.0
2015-11-06,G,1289201.0
2015-11-16,S,118958.0
2015-11-06,G,3500000.0
2015-11-16,S,4839.0
2015-11-16,S,800.0
2015-11-16,S,9400.0
2015-11-16,S,7500.0
2015-11-15,C,43193.0
2015-11-15,M,1250.0
