TRANS_DATE,TRANS_CODE,TRANS_SHARES
2020-11-02,S,5909.0
2020-11-02,S,1100.0
2020-11-02,S,2479.0
2020-11-02,S,698.0
2020-11-02,S,3312.0
2020-11-02,S,1187.0
2020-12-01,S,71.0
2020-12-01,S,1.0
2020-12-01,S,100.0
2020-12-01,G,832.0
2020-12-01,G,832.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,129.0
2020-12-01,S,99.0
2020-12-01,S,200.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,200.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,S,100.0
2020-12-01,G,10934.0
2020-12-02,G,20487.0
2009-03-27,M,4200.0
2009-03-27,S,1531.0
2009-02-26,S,4500.0
2009-02-17,S,10281.0
2009-02-15,M,8921.0
2009-02-15,M,1360.0
2009-02-17,S,17685.0
2009-02-15,M,8334.0
2009-02-15,M,5019.0
2009-02-15,M,4331.0
2009-02-15,M,2166.0
2009-02-17,S,7409.0
2009-02-15,M,13345.0
2009-02-15,M,3012.0
2009-02-17,S,18750.0
2009-02-15,M,2166.0
2009-02-15,M,3012.0
2009-02-15,M,8326.0
2009-02-17,S,5400.0
2009-02-17,S,11000.0
2009-02-17,S,8462.0
2009-02-15,M,812.0
2009-02-15,M,10040.0
2009-02-15,M,1250.0
2009-02-15,M,8925.0
2009-02-15,M,1133.0
2009-02-17,S,11308.0
2009-03-15,M,1873.0
2009-03-16,S,683.0
2009-03-05,S,67500.0
2009-03-05,M,75000.0
2009-02-03,G,324.0
2009-02-27,G,874.0
2016-02-22,S,5000.0
2016-02-16,S,800.0
2016-02-16,S,100.0
2016-02-16,S,700.0
2016-02-16,S,1000.0
2016-02-16,S,500.0
2016-02-16,S,900.0
2016-02-15,M,6250.0
2016-02-15,M,2568.0
2016-02-16,S,100.0
2016-02-16,S,219.0
2016-02-16,S,183.0
2016-02-15,M,637.0
2016-02-15,M,723.0
