ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000899243-22-029888	2312702	Earnout Shares			F1, F3, F2	24-AUG-2022				4	M	0	F3, F5, F2			4854502.0					F3, F5, F2	D			F3, F5, F2		F3, F5, F2	Class A Common Stock		4854502.0				9709003.0				D	F4		
0000899243-22-029888	2312703	Earnout Shares			F1, F3, F2	25-AUG-2022				4	M	0	F3, F6, F2			9709003.0					F3, F6, F2	D			F3, F6, F2		F3, F6, F2	Class A Common Stock		9709003.0				0.0				D	F4		
0001104659-22-095250	2312292	Earnout Shares			F1	24-AUG-2022				4	M	0	F2, F3			465.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		465.0				931.0				D			
0001104659-22-095250	2312293	Earnout Shares			F1	25-AUG-2022				4	M	0	F2, F4			931.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		931.0				0.0				D			
0001104659-22-095250	2312287	Stock Option (Right to Buy)		3.13		22-JUL-2022				4	A	0	F1			45132.0				0.0		A			F6	26-FEB-2027		Class A common stock		45132.0				45132.0				D			
0001104659-22-095250	2312288	Stock Option (Right to Buy)		3.13		22-JUL-2022				4	A	0	F1			40136.0				0.0		A			F6	01-MAR-2027		Class A common stock		40136.0				40136.0				D			
0001104659-22-095250	2312289	Stock Option (Right to Buy)		2.74		22-JUL-2022				4	A	0	F1			66321.0				0.0		A			F7	10-APR-2029		Class A common stock		66321.0				66321.0				D			
0001104659-22-095250	2312290	Stock Option (Right to Buy)		2.74		22-JUL-2022				4	A	0	F1			575571.0				0.0		A			F8	01-JUL-2029		Class A common stock		575571.0				575571.0				D			
0001104659-22-095250	2312291	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			1396.0				0.0		A			F2		F2	Class A common stock		1396.0				1396.0				D			
0001104659-22-095249	2312296	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			1732966.0				0.0		A			F2		F2	Class A common stock		1732966.0				1732966.0				D		By Trust	F6
0001104659-22-095249	2312297	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			1131610.0				0.0		A			F2		F2	Class A common stock		1131610.0				1131610.0				I		By Trust	F7
0001104659-22-095249	2312298	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			103186.0				0.0		A			F2		F2	Class A common stock		103186.0				103186.0				I		By Trust	F6
0001104659-22-095249	2312299	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			577655.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		577655.0				1155311.0				D		By Trust	F6
0001104659-22-095249	2312304	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			68791.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		68791.0				0.0				I			
0001104659-22-095249	2312301	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			377203.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		377203.0				754407.0				I		By Trust	F7
0001104659-22-095249	2312302	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			754407.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		754407.0				0.0				I			
0001104659-22-095249	2312303	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			34395.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		34395.0				68791.0				I			
0001104659-22-095249	2312300	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			1155311.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		1155311.0				0.0				D		By Trust	F7
0001104659-22-095248	2312350	Stock Option (Right to Buy)		2.74		22-JUL-2022				4	A	0	F1			38270.0				0.0		A			F7	10-APR-2029		Class A common stock		38270.0				38270.0				D		By Aston Aladmax LLC	
0001104659-22-095248	2312349	Stock Option (Right to Buy)		2.82		22-JUL-2022				4	A	0	F1			319761.0				0.0		A			F7	16-OCT-2025		Class A common stock		319761.0				319761.0				D		By Aston Aladmax LLC	
0001104659-22-095248	2312351	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			1548936.0				0.0		A			F2		F2	Class A common stock		1548936.0				1548936.0				D		By Aston Aladmax LLC	
0001104659-22-095248	2312352	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			114832.0				0.0		A			F2		F2	Class A common stock		114832.0				114832.0				I	F6		
0001104659-22-095248	2312353	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			516312.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		516312.0				1032624.0				D			
0001104659-22-095248	2312354	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			1032624.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		1032624.0				0.0				D			
0001104659-22-095248	2312356	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			76555.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		76555.0				0.0				I	F6		
0001104659-22-095248	2312355	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			38277.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		38277.0				76555.0				I	F6		
0001104659-22-095247	2312474	Stock Option (Right to Buy)		3.13		22-JUL-2022				4	A	0	F1			61740.0				0.0		A			F6	26-FEB-2027		Class A common stock		61740.0				61740.0				D			
0001104659-22-095247	2312475	Stock Option (Right to Buy)		3.13		22-JUL-2022				4	A	0	F1			23529.0				0.0		A			F6	01-MAR-2027		Class A common stock		23529.0				23529.0				D			
0001104659-22-095247	2312476	Stock Option (Right to Buy)		2.74		22-JUL-2022				4	A	0	F1			639523.0				0.0		A			F7	10-APR-2029		Class A common stock		639523.0				639523.0				D			
0001104659-22-095247	2312477	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			1746.0				0.0		A			F2		F2	Class A common stock		1746.0				1746.0				D			
0001104659-22-095247	2312478	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			582.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		582.0				1164.0				D			
0001104659-22-095247	2312479	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			1164.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		1164.0				0.0				D			
0001104659-22-095246	2312364	Stock Option (Right to Buy)		3.13		22-JUL-2022				4	A	0	F1			206887.0				0.0		A			F6	26-FEB-2027		Class A common stock		206887.0				206887.0				D			
0001104659-22-095246	2312369	Earnout Shares			F2	25-AUG-2022				4	M	0	F2, F4			3492.0					F2, F4	D			F2, F4		F2, F4	Class A common stock		3492.0				0.0				D			
0001104659-22-095246	2312368	Earnout Shares			F2	24-AUG-2022				4	M	0	F2, F3			1746.0					F2, F3	D			F2, F3		F2, F3	Class A common stock		1746.0				3492.0				D			
0001104659-22-095246	2312367	Earnout Shares			F2	22-JUL-2022				4	A	0	F1			5238.0				0.0		A			F2		F2	Class A common stock		5238.0				5238.0				D			
